dataset,split,seed,task_type,model,metric_name,metric_value,task_count,predictions_path,train_rows,val_rows,test_rows,train_csv,val_csv,test_csv,complete_group,group_key
bbbp,random,0,classification,interpremol_frozen,roc_auc,0.7557928214447978,1,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_0/interpremol_frozen/interpremol_frozen_predictions.csv,1631,204,204,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_0/splits/train.csv,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_0/splits/val.csv,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_0/splits/test.csv,True,bbbp | random
bbbp,random,0,classification,chemeleon_frozen,roc_auc,0.922308041799182,1,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_0/chemeleon_frozen/chemeleon_frozen_predictions.csv,1631,204,204,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_0/splits/train.csv,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_0/splits/val.csv,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_0/splits/test.csv,True,bbbp | random
bbbp,random,0,classification,chemeleon_finetune,roc_auc,0.9309404815992732,1,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_0/chemeleon_finetune/chemeleon_finetune_predictions.csv,1631,204,204,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_0/splits/train.csv,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_0/splits/val.csv,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_0/splits/test.csv,True,bbbp | random
bbbp,random,0,classification,random_forest,roc_auc,0.9123125851885504,1,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_0/random_forest/random_forest_predictions.csv,1631,204,204,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_0/splits/train.csv,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_0/splits/val.csv,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_0/splits/test.csv,True,bbbp | random
bbbp,random,1,classification,interpremol_frozen,roc_auc,0.7549412393162394,1,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_1/interpremol_frozen/interpremol_frozen_predictions.csv,1631,204,204,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_1/splits/train.csv,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_1/splits/val.csv,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_1/splits/test.csv,True,bbbp | random
bbbp,random,1,classification,chemeleon_frozen,roc_auc,0.905315170940171,1,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_1/chemeleon_frozen/chemeleon_frozen_predictions.csv,1631,204,204,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_1/splits/train.csv,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_1/splits/val.csv,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_1/splits/test.csv,True,bbbp | random
bbbp,random,1,classification,chemeleon_finetune,roc_auc,0.9233440170940173,1,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_1/chemeleon_finetune/chemeleon_finetune_predictions.csv,1631,204,204,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_1/splits/train.csv,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_1/splits/val.csv,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_1/splits/test.csv,True,bbbp | random
bbbp,random,1,classification,random_forest,roc_auc,0.9304887820512822,1,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_1/random_forest/random_forest_predictions.csv,1631,204,204,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_1/splits/train.csv,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_1/splits/val.csv,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_1/splits/test.csv,True,bbbp | random
bbbp,random,2,classification,interpremol_frozen,roc_auc,0.7848557692307693,1,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_2/interpremol_frozen/interpremol_frozen_predictions.csv,1631,204,204,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_2/splits/train.csv,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_2/splits/val.csv,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_2/splits/test.csv,True,bbbp | random
bbbp,random,2,classification,chemeleon_frozen,roc_auc,0.9354967948717948,1,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_2/chemeleon_frozen/chemeleon_frozen_predictions.csv,1631,204,204,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_2/splits/train.csv,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_2/splits/val.csv,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_2/splits/test.csv,True,bbbp | random
bbbp,random,2,classification,chemeleon_finetune,roc_auc,0.9344284188034188,1,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_2/chemeleon_finetune/chemeleon_finetune_predictions.csv,1631,204,204,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_2/splits/train.csv,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_2/splits/val.csv,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_2/splits/test.csv,True,bbbp | random
bbbp,random,2,classification,random_forest,roc_auc,0.9562633547008548,1,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_2/random_forest/random_forest_predictions.csv,1631,204,204,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_2/splits/train.csv,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_2/splits/val.csv,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/random/seed_2/splits/test.csv,True,bbbp | random
bbbp,scaffold,0,classification,interpremol_frozen,roc_auc,0.5936988149147316,1,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/scaffold/seed_0/interpremol_frozen/interpremol_frozen_predictions.csv,1631,204,204,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/scaffold/seed_0/splits/train.csv,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/scaffold/seed_0/splits/val.csv,/home/ubuntu/interpremol_benchmarks/moleculenet_20260406_124952/bbbp/scaffold/seed_0/splits/test.csv,True,bbbp | scaffold
