dataset,split,model,metric_name,metric_mean,metric_std,seeds
bace,random,chemeleon_finetune,roc_auc,0.894106242134585,0.01719201430167709,3
bace,random,chemeleon_frozen,roc_auc,0.8957178258547852,0.007948854367154052,3
bace,random,interpremol_frozen,roc_auc,0.6063215085587663,0.04880646032350409,3
bace,random,random_forest,roc_auc,0.9060841974088748,0.01603962627386482,3
bace,scaffold,chemeleon_finetune,roc_auc,0.8481884057971015,0.006299035743012216,3
bace,scaffold,chemeleon_frozen,roc_auc,0.8475845410628019,0.004379164434617425,3
bace,scaffold,interpremol_frozen,roc_auc,0.6711352657004831,0.009796577073409238,3
bace,scaffold,random_forest,roc_auc,0.896286231884058,0.0,3
bbbp,random,chemeleon_finetune,roc_auc,0.9295709724989031,0.00566768530317653,3
bbbp,random,chemeleon_frozen,roc_auc,0.9210400025370493,0.015130715398328798,3
bbbp,random,interpremol_frozen,roc_auc,0.7651966099972688,0.017030654842269434,3
bbbp,random,random_forest,roc_auc,0.9330215739802291,0.022084583115771758,3
bbbp,scaffold,chemeleon_finetune,roc_auc,0.730577769213476,0.0027017666163147713,3
bbbp,scaffold,chemeleon_frozen,roc_auc,0.7352346083437711,0.005459647968593211,3
bbbp,scaffold,interpremol_frozen,roc_auc,0.5941805568937277,0.0006744387705944765,3
bbbp,scaffold,random_forest,roc_auc,0.699633876095963,0.0,3
clintox,random,chemeleon_finetune,roc_auc,0.8938062588320393,0.035021754884586045,3
clintox,random,chemeleon_frozen,roc_auc,0.8813341779176774,0.045562689969895605,3
clintox,random,interpremol_frozen,roc_auc,0.6558671254688985,0.02922819486172472,3
clintox,random,random_forest,roc_auc,0.7702968103079311,0.09801272064527362,3
clintox,scaffold,chemeleon_finetune,roc_auc,0.8295523001888344,0.0023047507289952643,3
clintox,scaffold,chemeleon_frozen,roc_auc,0.7977704792687589,0.018974221705796577,3
clintox,scaffold,interpremol_frozen,roc_auc,0.6040193931811073,0.0212886101196835,3
clintox,scaffold,random_forest,roc_auc,0.8047379487714177,0.0,3
