SMILES,Hit
COc1cc(Br)ccc1OCC(=O)NN=Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,0
C#CCOc1ccc(/C=N/NC(=O)c2cccc([N+](=O)[O-])c2)cc1OC,0
Cc1ccc(C(=O)Nc2cccc(C(=O)NN=Cc3ccc(O)cc3)c2)cc1,0
Cc1ccc(-n2[nH]c(C)c(C=NNC(=O)c3ccc([N+](=O)[O-])cc3)c2=O)cc1C,0
COc1ccc(O)c(C=NNC(=O)c2ccc(NC(=O)c3ccc(Cl)cc3)cc2)c1,0
O=C(N/N=C/c1ccc(Cl)cc1)c1cccc(NC(=O)c2ccccc2F)c1,0
COc1ccc(N2C(=O)c3ccc(Oc4ccc(N5C(=O)c6ccc(C(=O)O)cc6C5=O)cc4)cc3C2=O)cc1,0
O=C(Nc1ccccc1C(=O)NN=Cc1cc(Br)cc(Br)c1O)c1ccc(F)cc1,0
COc1cc(/C=N\NC(=O)COc2ccc([N+](=O)[O-])cc2Br)ccc1OC(=O)c1ccc(Br)cc1,0
CCOc1cc(/C=N/NC(=O)COc2cccc(C)c2)ccc1OC(=O)c1ccc([N+](=O)[O-])cc1,0
CCCCCC(=O)Nc1ccc(C(=O)OCC(C)C)cc1,0
CCOC(=O)c1cc(I)c(N)c(I)c1,0
Cn1cnnc1SC[C@@H]1CCC2CC1C2(C)C,0
CCOC(=O)C1=C(C)N=C2CC(C)(C)CC(=O)C2C1c1ccc(C(C)(C)C)s1,0
Cc1cc(O)c(N=Cc2cccc(F)c2O)cc1C,1
Cc1c(Cl)cccc1NC(=O)c1ccccc1Cl,0
CCc1ccc(O)c(N=Cc2ccccc2O)c1,0
Cc1ccc(OCC(=O)NN=Cc2cccc(O)c2)cc1,0
CC1(C)C2C[C@@H]([SH](N)O)[C@](C)(O)CC21,0
CC1(C)C2CC[C@H](CSc3nnc(-c4ccccc4)n3-c3ccccc3)C1C2,0
O=[N+]([O-])c1ccc(Cl)cc1NCCNS(=O)(=O)c1ccc(Cl)cc1,0
O=C(c1ccc(Oc2ccccc2)cc1)c1coc2ccc(O)cc12,0
COc1cc(Br)ccc1OCC(=O)NN=C(C)c1ccc(C)cc1,0
COc1ccc(/C=N/NC(=O)Cc2ccc(Br)c3ccccc23)cc1OC,0
O=C(/C=C/C(=O)Oc1ccc(/C=N/c2ccc(Br)cc2)cc1)Oc1ccc(/C=N/c2ccc(Br)cc2)cc1,0
COc1ccc2c(c1OC)C(=O)N(c1ccc([N+](=O)[O-])cc1)C2,0
